tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
674468880899788800,5868,1888,8942723,18,Twitter for iPhone,Original tweet,https://t.co/6d9WziPXmx
674447403907457024,1003,335,8942723,18,Twitter for iPhone,Original tweet,https://t.co/AyJ7Ohk71f
674436901579923456,1041,363,8942723,18,Twitter for iPhone,Original tweet,https://t.co/CLEOjxhTEx
674422304705744896,1346,500,8942723,18,Twitter for iPhone,Original tweet,https://t.co/BxTJAFSIgk
674416750885273600,651,128,8942723,18,Twitter for iPhone,Original tweet,https://t.co/7qjXy1uUYY
674410619106390016,1135,429,8942723,18,Twitter for iPhone,Original tweet,https://t.co/CZ0YaB40Hn
674394782723014656,1416,529,8942723,18,Twitter for iPhone,Original tweet,https://t.co/cAlB4XCcsi
674372068062928900,804,297,8942723,18,Twitter for iPhone,Original tweet,https://t.co/G4m0TFY9uc
674330906434379776,536,71,8942723,18,Twitter for iPhone,Original tweet,7
674318007229923329,1330,483,8942723,18,Twitter for iPhone,Original tweet,https://t.co/7mf8XXPAZv
674307341513269249,10679,6459,8942723,18,Vine - Make a Scene,Original tweet,https://t.co/SroTpI6psB
674291837063053312,13781,5451,8942723,18,Twitter for iPhone,Original tweet,https://t.co/2S6oye3XqK
674271431610523648,1465,681,8942723,18,Twitter for iPhone,Original tweet,https://t.co/3aXX6wH6it
674269164442398721,860,213,8942723,18,Twitter for iPhone,Original tweet,https://t.co/vYe9RlVz2N
674265582246694913,1531,783,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Pu9RhfHDEQ
674262580978937856,1236,421,8942723,18,Twitter for iPhone,Original tweet,https://t.co/gJS1qU0jP7
674255168825880576,1372,504,8942723,18,Twitter for iPhone,Original tweet,https://t.co/r6LZN1o1Gx
674082852460433408,718,153,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Bko5kFJYUU
674075285688614912,936,261,8942723,18,Twitter for iPhone,Original tweet,https://t.co/7jOPktauh4
674063288070742018,5978,2025,8942723,18,Twitter for iPhone,Original tweet,https://t.co/1ZbfqAVDg6
674053186244734976,3098,1200,8942723,18,Twitter for iPhone,Original tweet,https://t.co/gQAMg5ypW5
674051556661161984,1364,458,8942723,18,Twitter for iPhone,Original tweet,https://t.co/YE2XDHy4Yk
674045139690631169,1324,596,8942723,18,Twitter for iPhone,Original tweet,https://t.co/t5ih0VrK02
674042553264685056,678,118,8942723,18,Twitter for iPhone,Original tweet,https://t.co/sAI6gCGZYX
674038233588723717,1034,394,8942723,18,Twitter for iPhone,Original tweet,https://t.co/nX8FiGRHvk
674036086168010753,804,191,8942723,18,Twitter for iPhone,Original tweet,https://t.co/jcNdw43BIP
674024893172875264,1668,1139,8942723,18,Twitter for iPhone,Original tweet,https://t.co/qzYXbyv0SJ
674019345211760640,1063,284,8942723,18,Twitter for iPhone,Original tweet,https://t.co/fqiEsTduEs
674014384960745472,1464,594,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Ac37LOe3xD
674008982932058114,1129,329,8942723,18,Twitter for iPhone,Original tweet,https://t.co/PiSXXZjDSJ
673956914389192708,1838,892,8942724,18,Twitter for iPhone,Original tweet,https://t.co/nyReCVRiyd
673919437611909120,1104,347,8942724,18,Twitter for iPhone,Original tweet,https://t.co/cdwPTsGEAb
673906403526995968,2972,1526,8942724,18,Twitter for iPhone,Original tweet,https://t.co/t5rQHl6W8M
673887867907739649,880,238,8942724,18,Twitter for iPhone,Original tweet,https://t.co/6qYd6BNSPd
673716320723169284,2903,701,8942724,18,Twitter for iPhone,Original tweet,u
673715861853720576,3309,1915,8942724,18,Twitter for iPhone,Original tweet,https://t.co/dFiaKZ9cDl
673711475735838725,980,278,8942724,18,Twitter for iPhone,Original tweet,https://t.co/MTOOksRzvH
